LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,DONALD J TRUMP,CLAUDIA DE LA CRUZ,KAMALA D HARRIS,R F KENNEDY JR,CHASE OLIVER,JILL STEIN,
AGUA DULCE,0090005G,6034,29,Y, ,VBM PORTION,1,1,0,0,0,0,0, 
AGUA DULCE,0090005G,6034,29,Y,1,TOTAL,1,1,0,0,0,0,0, 
AGUA DULCE,0090006A,6035,12,Y, ,POLLING PLACE,17,10,0,6,0,0,1, 
AGUA DULCE,0090006A,6035,12,Y, ,VBM PORTION,19,5,0,11,1,0,0, 
AGUA DULCE,0090006A,6035,12,Y,58,TOTAL,36,15,0,17,1,0,1, 
AGUA DULCE,0090007C,6036,80,Y, ,POLLING PLACE,0,0,0,0,0,0,0, 
AGUA DULCE,0090007C,6036,80,Y, ,VBM PORTION,1,1,0,0,0,0,0, 
AGUA DULCE,0090007C,6036,80,Y,1,TOTAL,1,1,0,0,0,0,0, 
AGUA DULCE,0090009A,6037,46,Y, ,POLLING PLACE,0,0,0,0,0,0,0, 
AGUA DULCE,0090009A,6037,46,Y, ,VBM PORTION,0,0,0,0,0,0,0, 
AGUA DULCE,0090009A,6037,46,Y,0,TOTAL,0,0,0,0,0,0,0, 
AGUA DULCE,0090010A,6038,7,Y, ,POLLING PLACE,0,0,0,0,0,0,0, 
AGUA DULCE,0090010A,6038,7,Y, ,VBM PORTION,0,0,0,0,0,0,0, 
AGUA DULCE,0090010A,6038,7,Y,0,TOTAL,0,0,0,0,0,0,0, 
AGUA DULCE,0090011B,6039,79,Y, ,POLLING PLACE,6,5,0,1,0,0,0, 
AGUA DULCE,0090011B,6039,79,Y, ,VBM PORTION,14,7,0,7,0,0,0, 
AGUA DULCE,0090011B,6039,79,Y,24,TOTAL,20,12,0,8,0,0,0, 
AGUA DULCE,0090012A,6040,12,Y, ,POLLING PLACE,1,1,0,0,0,0,0, 
AGUA DULCE,0090012A,6040,12,Y, ,VBM PORTION,10,10,0,0,0,0,0, 
AGUA DULCE,0090012A,6040,12,Y,13,TOTAL,11,11,0,0,0,0,0, 
AGUA DULCE,0090017A,6041,74,Y, ,POLLING PLACE,0,0,0,0,0,0,0, 
AGUA DULCE,0090017A,6041,74,Y, ,VBM PORTION,0,0,0,0,0,0,0, 
AGUA DULCE,0090017A,6041,74,Y,0,TOTAL,0,0,0,0,0,0,0, 
AGUA DULCE,0090019A,6042,12,Y, ,POLLING PLACE,0,0,0,0,0,0,0, 
AGUA DULCE,0090019A,6042,12,Y, ,VBM PORTION,0,0,0,0,0,0,0, 
AGUA DULCE,0090019A,6042,12,Y,0,TOTAL,0,0,0,0,0,0,0, 
AGUA DULCE,0090021A,6043,43,Y, ,POLLING PLACE,0,0,0,0,0,0,0, 
AGUA DULCE,0090021A,6043,43,Y, ,VBM PORTION,0,0,0,0,0,0,0, 
AGUA DULCE,0090021A,6043,43,Y,0,TOTAL,0,0,0,0,0,0,0, 
AGUA DULCE,0090023A,6044,43,Y, ,POLLING PLACE,0,0,0,0,0,0,0, 
AGUA DULCE,0090023A,6044,43,Y, ,VBM PORTION,0,0,0,0,0,0,0, 
AGUA DULCE,0090023A,6044,43,Y,0,TOTAL,0,0,0,0,0,0,0, 
AGUA DULCE,0090025A,6045,152,Y, ,POLLING PLACE,1,0,0,1,0,0,0, 
AGUA DULCE,0090025A,6045,152,Y, ,VBM PORTION,4,0,0,4,0,0,0, 
AGUA DULCE,0090025A,6045,152,Y,4,TOTAL,5,0,0,5,0,0,0, 
AGUA DULCE,0090025B,6046,152,Y, ,POLLING PLACE,0,0,0,0,0,0,0, 
